"ch_party_name";"chess"
"PP";120
"AfD";310
"Piraten";311
"DieTier";312
"ANEL";412
"Potami";413
"DIMAR";414
"XA";415
"ICV";518
"Amaiur";524
"Podemos";525
"C's";526
"NC";621
"PRV";622
"AC";623
"PG";624
"Ens";625
"SF";707
"PBPA";709
"CD";843
"Fdl";844
"M5S";845
"SC";846
"VdA";847
"NCD";848
"SGP";1006
"50PLUS";1020
"MPT";1209
"TeamStronach";1310
"FI";1612
"VMRO-BND";2005
"DBG";2013
"NFSB";2014
"BBT";2015
"ABV";2016
"ANO2011";2111
"USVIT";2112
"SVOBODNI";2113
"EVE";2208
"E14";2310
"DK";2311
"NSL";2413
"LRA";2414
"DK";2520
"RP";2613
"KNP";2614
"PR";2615
"SP";2616
"UNPR";2709
"PP-DD";2710
"PMP";2711
"PLR";2712
"OLaNO";2814
"NOVA";2815
"Siet";2816
"SMC";2911
"ZL";2912
"ZaAB";2913
"PS";2914
"IDS";3106
"HL-SR";3112
"HSP-AS";3113
"ORaH";3114
"HDP";3407
"MDG";3508
"FDP/PLR";3603
"PL";3701
"PN";3702
"CSV";3801
"GRENG";3802
"DP";3803
"LSAP";3804
"ADR";3805
"DL";3806
"DISY";4001
"EVROKO";4002
"AKEL";4003
"DIKO";4004
"EDEK";4005
"KOP";4006
