ch_party_name;chess;ParlGov_Party_id
PP;120;748
AfD;310;2253
Piraten;311;865
DieTier;312;301
ANEL;412;2091
Potami;413;2346
DIMAR;414;2093
XA;415;2092
ICV;518;2330
Amaiur;524;NA
Podemos;525;2376
C's;526;2375
NC;621;1058
PRV;622;NA
AC;623;2078
PG;624;NA
Ens;625;NA
SF;707;2217
PBPA;709;1804
CD;843;2153
Fdl;844;2154
M5S;845;2155
SC;846;2156
VdA;847;NA
NCD;848;2268
SGP;1006;NA
50PLUS;1020;2109
MPT;1209;2373
TeamStronach;1310;2150
FI;1612;1521
VMRO-BND;2005;2212
DBG;2013;2213
NFSB;2014;2211
BBT;2015;NA
ABV;2016;2364
ANO2011;2111;2263
USVIT;2112;2262
SVOBODNI;2113;574
EVE;2208;2409
E14;2310;2318
DK;2311;1970
NSL;2413;2365
LRA;2414;2366
DK;2520;2121
RP;2613;1945
KNP;2614;1549
PR;2615;2331
SP;2616;2372
UNPR;2709;2002
PP-DD;2710;2130
PMP;2711;2395
PLR;2712;2401
OLaNO;2814;1759
NOVA;2815;NA
Siet;2816;2624
SMC;2911;2333
ZL;2912;NA
ZaAB;2913;2337
PS;2914;1987
IDS;3106;1627
HL-SR;3112;2182
HSP-AS;3113;2181
ORaH;3114;2382
HDP;3407;2572
MDG;3508;2254
FDP/PLR;3603;NA
PL;3701;1003
PN;3702;984
CSV;3801;1234
GRENG;3802;310
DP;3803;967
LSAP;3804;701
ADR;3805;1582
DL;3806;457
DISY;4001;1575
EVROKO;4002;491
AKEL;4003;572
DIKO;4004;851
EDEK;4005;945
KOP;4006;1621
SYRIZA;403;1592
